"b0","b1","SSR"
8.9,-1.98,55.1162185718708
9,-1.98,60.9676525478254
9.1,-1.98,67.2190865237802
9.2,-1.98,73.870520499735
9.3,-1.98,80.9219544756895
9.4,-1.98,88.3733884516443
9.5,-1.98,96.2248224275989
9.6,-1.98,104.476256403554
9.7,-1.98,113.127690379509
9.8,-1.98,122.179124355463
9.9,-1.98,131.630558331418
10,-1.98,141.481992307372
-10,-1.97,6100.8234936136
-9.9,-1.97,6031.24859575448
-9.8,-1.97,5962.07369789536
-9.7,-1.97,5893.29880003624
-9.6,-1.97,5824.92390217712
-9.5,-1.97,5756.949004318
-9.4,-1.97,5689.37410645888
-9.3,-1.97,5622.19920859976
-9.2,-1.97,5555.42431074064
-9.1,-1.97,5489.04941288151
-9,-1.97,5423.07451502239
-8.9,-1.97,5357.49961716327
-8.8,-1.97,5292.32471930415
-8.7,-1.97,5227.54982144503
-8.6,-1.97,5163.17492358591
-8.5,-1.97,5099.20002572679
-8.4,-1.97,5035.62512786767
-8.3,-1.97,4972.45023000855
-8.2,-1.97,4909.67533214943
-8.1,-1.97,4847.30043429031
-8,-1.97,4785.32553643119
-7.9,-1.97,4723.75063857207
-7.8,-1.97,4662.57574071294
-7.7,-1.97,4601.80084285382
-7.6,-1.97,4541.4259449947
-7.5,-1.97,4481.45104713558
-7.4,-1.97,4421.87614927646
-7.3,-1.97,4362.70125141734
-7.2,-1.97,4303.92635355822
-7.1,-1.97,4245.5514556991
-7,-1.97,4187.57655783998
-6.9,-1.97,4130.00165998086
-6.8,-1.97,4072.82676212174
-6.7,-1.97,4016.05186426261
-6.6,-1.97,3959.67696640349
-6.5,-1.97,3903.70206854437
-6.4,-1.97,3848.12717068525
-6.3,-1.97,3792.95227282613
-6.2,-1.97,3738.17737496701
-6.1,-1.97,3683.80247710789
-6,-1.97,3629.82757924877
-5.9,-1.97,3576.25268138965
-5.8,-1.97,3523.07778353053
-5.7,-1.97,3470.30288567141
-5.6,-1.97,3417.92798781229
-5.5,-1.97,3365.95308995317
-5.4,-1.97,3314.37819209404
-5.3,-1.97,3263.20329423492
-5.2,-1.97,3212.4283963758
-5.1,-1.97,3162.05349851668
-5,-1.97,3112.07860065756
-4.9,-1.97,3062.50370279844
-4.8,-1.97,3013.32880493932
-4.7,-1.97,2964.5539070802
-4.6,-1.97,2916.17900922108
-4.5,-1.97,2868.20411136196
-4.4,-1.97,2820.62921350284
-4.3,-1.97,2773.45431564372
-4.2,-1.97,2726.67941778459
-4.1,-1.97,2680.30451992547
-4,-1.97,2634.32962206635
-3.9,-1.97,2588.75472420723
-3.8,-1.97,2543.57982634811
-3.7,-1.97,2498.80492848899
-3.6,-1.97,2454.43003062987
-3.5,-1.97,2410.45513277075
-3.4,-1.97,2366.88023491163
-3.3,-1.97,2323.70533705251
-3.2,-1.97,2280.93043919339
-3.1,-1.97,2238.55554133426
-3,-1.97,2196.58064347514
-2.9,-1.97,2155.00574561602
-2.8,-1.97,2113.8308477569
-2.7,-1.97,2073.05594989778
-2.6,-1.97,2032.68105203866
-2.5,-1.97,1992.70615417954
-2.4,-1.97,1953.13125632042
-2.3,-1.97,1913.9563584613
-2.2,-1.97,1875.18146060218
-2.1,-1.97,1836.80656274306
-2,-1.97,1798.83166488394
-1.9,-1.97,1761.25676702482
-1.8,-1.97,1724.08186916569
-1.7,-1.97,1687.30697130657
-1.6,-1.97,1650.93207344745
-1.5,-1.97,1614.95717558833
-1.4,-1.97,1579.38227772921
-1.3,-1.97,1544.20737987009
-1.2,-1.97,1509.43248201097
-1.1,-1.97,1475.05758415185
-1,-1.97,1441.08268629273
-0.9,-1.97,1407.50778843361
-0.799999999999999,-1.97,1374.33289057449
-0.699999999999999,-1.97,1341.55799271536
-0.6,-1.97,1309.18309485624
-0.5,-1.97,1277.20819699712
-0.399999999999999,-1.97,1245.633299138
-0.299999999999999,-1.97,1214.45840127888
-0.199999999999999,-1.97,1183.68350341976
-0.0999999999999996,-1.97,1153.30860556064
0,-1.97,1123.33370770152
0.100000000000001,-1.97,1093.7588098424
0.200000000000001,-1.97,1064.58391198328
0.300000000000001,-1.97,1035.80901412416
0.4,-1.97,1007.43411626504
0.5,-1.97,979.459218405915
0.600000000000001,-1.97,951.884320546794
0.700000000000001,-1.97,924.709422687673
0.800000000000001,-1.97,897.934524828553
0.9,-1.97,871.559626969432
1,-1.97,845.584729110311
1.1,-1.97,820.00983125119
1.2,-1.97,794.834933392069
1.3,-1.97,770.060035532948
1.4,-1.97,745.685137673828
1.5,-1.97,721.710239814707
1.6,-1.97,698.135341955586
1.7,-1.97,674.960444096465
1.8,-1.97,652.185546237344
1.9,-1.97,629.810648378224
2,-1.97,607.835750519103
2.1,-1.97,586.260852659982
2.2,-1.97,565.085954800861
2.3,-1.97,544.31105694174
2.4,-1.97,523.936159082619
2.5,-1.97,503.961261223499
2.6,-1.97,484.386363364378
2.7,-1.97,465.211465505257
2.8,-1.97,446.436567646136
2.9,-1.97,428.061669787015
3,-1.97,410.086771927894
3.1,-1.97,392.511874068773
3.2,-1.97,375.336976209653
3.3,-1.97,358.562078350532
3.4,-1.97,342.187180491411
3.5,-1.97,326.21228263229
3.6,-1.97,310.637384773169
3.7,-1.97,295.462486914048
3.8,-1.97,280.687589054928
3.9,-1.97,266.312691195807
4,-1.97,252.337793336686
4.1,-1.97,238.762895477565
4.2,-1.97,225.587997618444
4.3,-1.97,212.813099759324
4.4,-1.97,200.438201900203
4.5,-1.97,188.463304041082
4.6,-1.97,176.888406181961
4.7,-1.97,165.71350832284
4.8,-1.97,154.938610463719
4.9,-1.97,144.563712604599
5,-1.97,134.588814745478
5.1,-1.97,125.013916886357
5.2,-1.97,115.839019027236
5.3,-1.97,107.064121168115
5.4,-1.97,98.6892233089945
5.5,-1.97,90.7143254498737
5.6,-1.97,83.1394275907528
5.7,-1.97,75.964529731632
5.8,-1.97,69.1896318725112
5.9,-1.97,62.8147340133904
6,-1.97,56.8398361542695
6.1,-1.97,51.2649382951486
6.2,-1.97,46.0900404360279
6.3,-1.97,41.315142576907
6.4,-1.97,36.9402447177861
6.5,-1.97,32.9653468586654
6.6,-1.97,29.3904489995445
6.7,-1.97,26.2155511404238
6.8,-1.97,23.4406532813029
6.9,-1.97,21.065755422182
7,-1.97,19.0908575630612
7.1,-1.97,17.5159597039404
7.2,-1.97,16.3410618448196
7.3,-1.97,15.5661639856987
7.4,-1.97,15.1912661265779
7.5,-1.97,15.2163682674571
7.6,-1.97,15.6414704083363
7.7,-1.97,16.4665725492154
7.8,-1.97,17.6916746900946
7.9,-1.97,19.3167768309738
8,-1.97,21.3418789718529
8.1,-1.97,23.7669811127322
8.2,-1.97,26.5920832536113
8.3,-1.97,29.8171853944905
8.4,-1.97,33.4422875353697
8.5,-1.97,37.4673896762488
8.6,-1.97,41.892491817128
8.7,-1.97,46.7175939580071
8.8,-1.97,51.9426960988863
8.9,-1.97,57.5677982397656
9,-1.97,63.5929003806446
9.1,-1.97,70.0180025215239
9.2,-1.97,76.8431046624032
9.3,-1.97,84.0682068032822
9.4,-1.97,91.6933089441615
9.5,-1.97,99.7184110850405
9.6,-1.97,108.14351322592
9.7,-1.97,116.968615366799
9.8,-1.97,126.193717507678
9.9,-1.97,135.818819648557
10,-1.97,145.843921789436
-10,-1.96,6070.5277732921
-9.9,-1.96,6001.12654359791
-9.8,-1.96,5932.12531390371
