"b0","b1","logL"
0.9,-1,-13.6060324108662
0.91,-1,-13.6298617620875
0.92,-1,-13.6540465018771
0.93,-1,-13.6785867009852
0.94,-1,-13.7034824233383
0.95,-1,-13.7287337260972
0.96,-1,-13.7543406597137
0.97,-1,-13.7803032679891
0.98,-1,-13.8066215881322
0.99,-1,-13.833295650818
1,-1,-13.8603254802463
-1,-0.99,-14.9538860653196
-0.99,-0.99,-14.9206089785826
-0.98,-0.99,-14.8875409467456
-0.97,-0.99,-14.8546831729477
-0.96,-0.99,-14.822036861081
-0.95,-0.99,-14.7896032157024
-0.94,-0.99,-14.757383441946
-0.93,-0.99,-14.7253787454336
-0.92,-0.99,-14.693590332185
-0.91,-0.99,-14.6620194085278
-0.9,-0.99,-14.6306671810066
-0.89,-0.99,-14.599534856291
-0.88,-0.99,-14.568623641084
-0.87,-0.99,-14.5379347420286
-0.86,-0.99,-14.5074693656152
-0.85,-0.99,-14.477228718087
-0.84,-0.99,-14.4472140053465
-0.83,-0.99,-14.4174264328596
-0.82,-0.99,-14.3878672055613
-0.81,-0.99,-14.3585375277591
-0.8,-0.99,-14.329438603037
-0.79,-0.99,-14.3005716341589
-0.78,-0.99,-14.2719378229714
-0.77,-0.99,-14.2435383703066
-0.76,-0.99,-14.2153744758836
-0.75,-0.99,-14.1874473382111
-0.74,-0.99,-14.1597581544887
-0.73,-0.99,-14.1323081205077
-0.72,-0.99,-14.1050984305526
-0.71,-0.99,-14.0781302773017
-0.7,-0.99,-14.0514048517274
-0.69,-0.99,-14.0249233429965
-0.68,-0.99,-13.9986869383706
-0.67,-0.99,-13.9726968231058
-0.66,-0.99,-13.9469541803526
-0.65,-0.99,-13.9214601910557
-0.64,-0.99,-13.8962160338537
-0.63,-0.99,-13.8712228849784
-0.62,-0.99,-13.8464819181548
-0.61,-0.99,-13.8219943045003
-0.6,-0.99,-13.7977612124244
-0.59,-0.99,-13.7737838075287
-0.58,-0.99,-13.7500632525058
-0.57,-0.99,-13.7266007070401
-0.56,-0.99,-13.703397327707
-0.55,-0.99,-13.680454267873
-0.54,-0.99,-13.6577726775965
-0.53,-0.99,-13.6353537035278
-0.52,-0.99,-13.6131984888098
-0.51,-0.99,-13.5913081729793
-0.5,-0.99,-13.5696838918675
-0.49,-0.99,-13.5483267775026
-0.48,-0.99,-13.5272379580104
-0.47,-0.99,-13.5064185575176
-0.46,-0.99,-13.4858696960537
-0.45,-0.99,-13.4655924894543
-0.44,-0.99,-13.4455880492646
-0.43,-0.99,-13.4258574826431
-0.42,-0.99,-13.4064018922659
-0.41,-0.99,-13.387222376232
-0.4,-0.99,-13.3683200279686
-0.39,-0.99,-13.3496959361367
-0.38,-0.99,-13.3313511845383
-0.37,-0.99,-13.3132868520233
-0.36,-0.99,-13.2955040123972
-0.35,-0.99,-13.2780037343301
-0.34,-0.99,-13.2607870812653
-0.33,-0.99,-13.2438551113298
-0.32,-0.99,-13.2272088772446
-0.31,-0.99,-13.2108494262361
-0.3,-0.99,-13.1947777999486
-0.29,-0.99,-13.1789950343569
-0.28,-0.99,-13.1635021596808
-0.27,-0.99,-13.1483002002991
-0.26,-0.99,-13.1333901746656
-0.25,-0.99,-13.1187730952254
-0.24,-0.99,-13.1044499683326
-0.23,-0.99,-13.0904217941683
-0.22,-0.99,-13.0766895666602
-0.21,-0.99,-13.0632542734029
-0.2,-0.99,-13.050116895579
-0.19,-0.99,-13.0372784078819
-0.18,-0.99,-13.0247397784386
-0.17,-0.99,-13.0125019687349
-0.16,-0.99,-13.0005659335404
-0.15,-0.99,-12.9889326208354
-0.14,-0.99,-12.9776029717389
-0.13,-0.99,-12.9665779204371
-0.12,-0.99,-12.9558583941141
-0.11,-0.99,-12.9454453128827
-0.1,-0.99,-12.9353395897174
-0.09,-0.99,-12.9255421303875
-0.08,-0.99,-12.9160538333927
-0.07,-0.99,-12.9068755898988
-0.0599999999999999,-0.99,-12.8980082836755
-0.0499999999999999,-0.99,-12.8894527910351
-0.04,-0.99,-12.8812099807722
-0.03,-0.99,-12.8732807141054
-0.02,-0.99,-12.86566584462
-0.01,-0.99,-12.8583662182115
0,-0.99,-12.8513826730315
0.01,-0.99,-12.8447160394341
0.02,-0.99,-12.8383671399239
0.03,-0.99,-12.8323367891055
0.04,-0.99,-12.8266257936344
0.05,-0.99,-12.8212349521691
0.0600000000000001,-0.99,-12.8161650553246
0.0700000000000001,-0.99,-12.8114168856279
0.0800000000000001,-0.99,-12.8069912174738
0.0900000000000001,-0.99,-12.8028888170832
0.1,-0.99,-12.7991104424623
0.11,-0.99,-12.7956568433634
0.12,-0.99,-12.7925287612471
0.13,-0.99,-12.7897269292459
0.14,-0.99,-12.7872520721293
0.15,-0.99,-12.7851049062706
0.16,-0.99,-12.7832861396147
0.17,-0.99,-12.7817964716478
0.18,-0.99,-12.7806365933682
0.19,-0.99,-12.7798071872591
0.2,-0.99,-12.7793089272622
0.21,-0.99,-12.7791424787534
0.22,-0.99,-12.7793084985195
0.23,-0.99,-12.7798076347367
0.24,-0.99,-12.7806405269507
0.25,-0.99,-12.7818078060574
0.26,-0.99,-12.7833100942864
0.27,-0.99,-12.7851480051851
0.28,-0.99,-12.7873221436043
0.29,-0.99,-12.7898331056855
0.3,-0.99,-12.7926814788496
0.31,-0.99,-12.7958678417875
0.32,-0.99,-12.799392764451
0.33,-0.99,-12.8032568080462
0.34,-0.99,-12.8074605250284
0.35,-0.99,-12.8120044590976
0.36,-0.99,-12.8168891451958
0.37,-0.99,-12.8221151095063
0.38,-0.99,-12.8276828694537
0.39,-0.99,-12.8335929337057
0.4,-0.99,-12.8398458021757
0.41,-0.99,-12.8464419660279
0.42,-0.99,-12.8533819076828
0.43,-0.99,-12.8606661008245
0.44,-0.99,-12.8682950104092
0.45,-0.99,-12.8762690926754
0.46,-0.99,-12.8845887951549
0.47,-0.99,-12.8932545566855
0.48,-0.99,-12.9022668074251
0.49,-0.99,-12.9116259688669
0.5,-0.99,-12.9213324538559
0.51,-0.99,-12.9313866666065
0.52,-0.99,-12.9417890027223
0.53,-0.99,-12.9525398492158
0.54,-0.99,-12.9636395845301
0.55,-0.99,-12.9750885785622
0.56,-0.99,-12.9868871926865
0.57,-0.99,-12.9990357797804
0.58,-0.99,-13.0115346842505
0.59,-0.99,-13.0243842420604
0.6,-0.99,-13.0375847807594
0.61,-0.99,-13.0511366195121
0.62,-0.99,-13.06504006913
0.63,-0.99,-13.0792954321029
0.64,-0.99,-13.0939030026325
0.65,-0.99,-13.1088630666667
0.66,-0.99,-13.1241759019344
0.67,-0.99,-13.1398417779825
0.68,-0.99,-13.1558609562127
0.69,-0.99,-13.1722336899198
0.7,-0.99,-13.1889602243315
0.71,-0.99,-13.206040796648
0.72,-0.99,-13.2234756360835
0.73,-0.99,-13.2412649639082
0.74,-0.99,-13.2594089934913
0.75,-0.99,-13.2779079303447
0.76,-0.99,-13.2967619721676
0.77,-0.99,-13.3159713088925
0.78,-0.99,-13.3355361227309
0.79,-0.99,-13.3554565882205
0.8,-0.99,-13.3757328722735
0.81,-0.99,-13.3963651342246
0.82,-0.99,-13.4173535258806
0.83,-0.99,-13.4386981915705
0.84,-0.99,-13.4603992681957
0.85,-0.99,-13.4824568852819
0.86,-0.99,-13.5048711650309
0.87,-0.99,-13.5276422223726
0.88,-0.99,-13.550770165019
0.89,-0.99,-13.5742550935171
0.9,-0.99,-13.5980971013037
0.91,-0.99,-13.6222962747599
0.92,-0.99,-13.646852693266
0.93,-0.99,-13.6717664292579
0.94,-0.99,-13.6970375482823
